workflow	classifier	run_name	is_shuffled_control	replicate	spike_n_per_genome	total_spike_n	n_genomes	is_positive	is_negative	expected_target_labels	n_expected_species	threshold_mode	threshold_value	n_reported_taxa_detected	n_off_target_taxa_detected	n_expected_taxa_detected	n_expected_panel_labels_detected	matched_expected_labels_detected	reported_taxa	off_target_taxa	any_expected_detected	all_expected_detected	any_off_target_detected	any_taxa_detected	clean_positive_call	taxonomic_precision_observation
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	1	2500	5000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	3	1	2	1	Plasmodium vivax	Plasmodium; Plasmodium (Plasmodium); Plasmodium vivax	Plasmodium (Plasmodium)	True	False	True	True	False	0.333
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	1	5000	10000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	7	3	4	2	Plasmodium falciparum; Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	True	True	True	True	False	0.286
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	2	2500	5000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	5	3	2	1	Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	True	False	True	True	False	0.2
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	2	5000	10000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	7	3	4	2	Plasmodium falciparum; Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	True	True	True	True	False	0.286
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	3	2500	5000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	5	3	2	1	Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	True	False	True	True	False	0.2
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	3	5000	10000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	7	3	4	2	Plasmodium falciparum; Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	True	True	True	True	False	0.286
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	4	2500	5000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	6	2	4	2	Plasmodium falciparum; Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium)	True	True	True	True	False	0.333
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	4	5000	10000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	7	3	4	2	Plasmodium falciparum; Plasmodium vivax	Plasmodium; Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.); Plasmodium falciparum; Plasmodium falciparum 383.1; Plasmodium vivax	Plasmodium (Laverania); Plasmodium (Plasmodium); Plasmodium adleri (nom. inval.)	True	True	True	True	False	0.286
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	5	2500	5000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	3	2	1	0		Plasmodium; Plasmodium (Laverania); Plasmodium adleri (nom. inval.)	Plasmodium (Laverania); Plasmodium adleri (nom. inval.)	False	False	True	True	False	0.0
multi_assembly	kraken	spikein_multi_flye_medaka_panel2_20260417_151425	False	5	5000	10000	2	True	False	Plasmodium falciparum; Plasmodium vivax	2	fixed	1	3	2	1	0		Plasmodium; Plasmodium (Laverania); Plasmodium adleri (nom. inval.)	Plasmodium (Laverania); Plasmodium adleri (nom. inval.)	False	False	True	True	False	0.0
